d,glon,glat
7.18,288.46221,-2.40759
7.19,357.53772,3.25519
7.2,2.14223,1.74503
7.21,338.65799,1.15800
7.22,2.35260,-7.86717
7.25,0.34416,1.56644
7.26,221.74357,5.31728
7.26,0.17629,-1.21404
7.26,68.74299,3.07667
7.27,356.78590,-6.48604
7.27,355.67342,-2.75439
7.29,347.79384,2.05046
7.29,13.31959,32.73542
7.3,4.19931,-4.39826
7.32,324.05688,-1.64530
7.35,315.83060,-5.56830
7.41,296.84930,-0.98450
7.44,1.73599,-4.60547
7.44,0.70247,-2.76023
7.46,351.56623,-6.58661
7.47,324.16724,9.07784
7.47,359.89686,-7.27223
7.52,2.26389,-6.39492
7.53,3.85023,-4.35209
7.58,310.15741,-3.71810
7.59,75.79732,35.83361
7.6,315.43037,5.22146
7.6,283.81816,-4.23874
7.62,291.74021,3.73469
7.63,356.95050,0.91130
7.67,286.04382,-6.55480
7.68,219.33519,1.14974
7.71,307.23261,-9.06228
7.72,274.86011,-5.78160
7.73,2.58188,-1.77167
7.75,2.02296,-6.22479
7.78,59.43307,2.33074
7.78,57.95452,-1.56969
7.79,1.29498,-3.04006
7.81,0.45780,4.41850
7.82,228.50941,-11.46271
7.82,2.03852,-1.38355
7.83,358.69604,1.86347
7.88,359.51994,-1.24412
7.92,53.35396,24.05923
7.93,64.13724,-0.97649
7.94,68.72031,1.91273
7.99,356.55423,-3.97846
8,6.18757,8.36164
8.02,323.55731,1.12160
8.07,6.55292,-3.16250
8.08,32.54622,-0.03317
8.09,33.97789,-0.98503
8.09,351.77031,-6.66820
8.1,2.11514,-4.20456
8.14,42.96902,-6.92015
8.17,357.22755,7.41034
8.17,23.54930,-0.13670
8.18,356.52469,2.28600
8.19,23.44020,0.74540
8.19,270.11744,-2.95032
8.25,228.83038,5.36683
8.28,353.06909,8.41640
8.3,104.11122,1.00115
8.3,59.30350,-1.72635
8.3,2.68096,-3.46836
8.3,2.79649,1.69459
8.31,294.93385,-4.34375
8.31,322.46886,-0.17785
8.35,3.55660,1.35420
8.35,34.79070,-6.26490
8.36,25.96803,-10.95527
8.36,91.64882,-4.83735
8.41,235.38338,-3.92032
8.45,96.31663,2.34698
8.48,142.14967,3.48734
8.49,129.54900,4.56161
8.51,321.30644,-16.78071
8.57,357.14235,1.98973
8.6,278.61684,-6.74132
8.61,355.10609,-6.95088
8.61,345.03694,-4.93067
8.62,100.03222,-8.76203
8.67,2.35209,-3.41247
8.68,16.41570,-0.92990
8.69,327.82900,-0.88807
8.73,320.67749,-4.88100
8.75,58.17442,-3.70465
8.82,14.44123,-6.14798
8.83,357.40700,-7.26954
8.83,348.47260,4.91610
8.86,308.18170,-0.58470
8.87,297.05001,1.09675
8.88,212.03301,4.35595
8.89,45.77374,1.45349
8.89,8.64720,-7.01798
8.93,355.92184,2.77373
8.93,336.55420,5.50930
8.96,25.92688,-0.98458
8.99,26.04440,-1.07103
9.02,132.47373,4.70305
9.08,2.01230,0.74400
9.11,337.68259,0.76860
9.14,242.52499,-5.94860
9.14,358.98691,-3.74696
9.15,27.77178,-0.63523
9.19,359.89410,5.62198
9.2,55.19506,-1.81169
9.2,355.01999,2.67740
9.25,275.39154,-4.69918
9.28,84.06671,-4.43944
9.34,27.81840,-0.76630
9.37,358.90521,-2.18120
9.37,48.51535,4.24331
9.39,329.52341,-0.79630
9.42,95.22053,0.77930
9.42,0.16601,17.24877
9.43,331.86841,-2.34680
9.45,4.04188,-5.80567
9.49,107.44232,-2.62373
9.5,1.71358,-4.45532
9.5,356.15525,2.76500
9.52,11.13910,11.55092
9.55,273.28809,-2.65100
9.56,41.27141,-0.69664
9.57,242.68232,-4.48737
9.62,10.77034,-6.47702
9.71,299.37341,-1.13530
9.72,49.53710,-1.49728
9.8,3.70175,7.93689
9.86,302.05731,-1.60900
9.99,355.18218,-2.91519
10,355.27489,-2.54294
10,273.19940,-0.39410
10,305.36761,-3.15790
10.01,305.59940,-0.89840
10.09,1.82220,-3.70660
10.09,240.36981,-7.62917
10.17,263.04807,-5.57067
10.27,21.01193,-4.04647
10.3,65.02190,-27.31158
10.31,332.02499,-1.03550
10.34,357.18354,-4.78857
10.36,0.22874,6.15403
10.36,17.58860,1.06820
10.4,356.98437,4.44292
10.62,308.54700,2.49053
10.65,297.03540,6.49800
10.69,295.32620,-9.35076
10.8,70.89168,2.41755
10.81,52.96187,2.73136
10.9,297.45506,3.71115
10.93,306.60669,-0.69780
10.94,27.88610,0.50290
11.02,9.30355,-6.52688
11.08,309.85431,-1.59890
11.11,205.87404,-26.73105
11.12,333.04620,5.03050
11.19,343.42365,11.94919
11.24,59.06268,4.63926
11.3,8.28669,6.87399
11.35,303.67841,0.59240
11.48,2.69225,4.21375
11.57,151.40162,0.51129
11.6,32.93958,-0.74775
11.71,106.62473,-4.20083
11.73,95.12210,-2.00695
11.87,257.81210,-6.95030
11.89,88.71361,4.61954
11.91,359.29607,4.76209
11.97,56.40163,-0.90340
12.04,297.56729,1.02310
12.11,356.81127,-5.48858
12.12,72.31553,-5.35835
12.13,58.63306,-3.61715
12.24,16.86160,-1.73480
12.4,332.30158,-4.26094
12.42,347.80679,-1.14260
12.47,47.10246,4.11722
12.48,289.81916,7.77628
12.49,326.05273,-6.54664
12.5,346.88339,-0.71040
12.5,301.12671,-0.48480
12.5,60.47773,1.59047
12.51,304.86021,5.16122
12.6,52.90262,-2.78511
12.69,91.66699,-1.04723
12.7,178.13108,-4.04106
12.71,327.72480,-5.49068
12.71,325.67441,-1.88700
12.86,3.89479,-17.19520
12.87,153.77028,-1.40651
12.92,357.17795,-6.17793
13.07,327.57758,13.33029
13.07,4.24536,-3.25896
13.09,313.46039,6.22080
13.11,65.49389,3.17927
13.36,327.88686,-6.13695
13.41,60.52362,-0.31834
13.42,119.28001,4.69828
13.6,353.52344,-5.00224
13.62,3.26083,-4.42666
13.74,296.77121,-0.21100
13.84,26.83260,-0.15170
13.96,232.01925,5.72609
14.21,82.53439,11.34933
14.32,33.45440,-0.61491
14.67,359.00603,-4.16861
14.92,32.37770,-0.55480
14.97,67.80910,1.84791
15.05,184.60722,0.66700
15.08,184.89139,4.40446
15.4,356.89518,3.32118
15.7,67.90798,-0.24937
16.83,49.30850,88.14752
17.35,6.07275,-41.91790
17.38,61.94420,41.39125
21,135.99576,55.96638
22.83,108.37097,-76.18578
26,6.87184,-19.86387
26,5.20597,-18.69081
26,4.87118,-22.72651
