d,glon,glat
2.29,308.65696,-12.28205
2.3,311.04564,2.47752
2.3,322.49132,-2.61133
2.3,245.07640,2.21410
2.31,110.65993,-1.21316
2.31,0.36191,12.21475
2.33,329.38324,-2.87164
2.34,116.29400,8.53137
2.36,309.29571,1.39097
2.37,86.51913,1.82833
2.37,16.45097,-1.97524
2.38,228.21358,-22.14229
2.39,292.65624,1.23815
2.39,65.91348,0.59670
2.4,10.09879,0.73956
2.4,53.89099,-3.02670
2.4,219.24726,7.58853
2.41,261.61432,3.00505
2.42,54.19697,-12.11220
2.42,208.55783,33.28909
2.43,288.44300,0.38161
2.43,8.33499,-1.10379
2.43,17.61650,-10.24190
2.44,265.75170,4.10130
2.44,278.15916,-5.93638
2.44,93.98709,-0.11790
2.45,36.06230,17.62030
2.45,315.10804,-13.08128
2.47,326.41462,6.99297
2.47,131.58700,2.64257
2.47,321.88110,1.95246
2.47,318.35215,-2.58072
2.49,208.90254,-7.82451
2.5,322.58000,-5.26315
2.5,60.33217,-7.39255
2.5,334.39117,-9.34571
2.51,144.81069,65.84625
2.52,227.15810,0.54220
2.52,312.36678,10.57063
2.53,298.78008,-7.54331
2.53,354.54770,-3.94970
2.55,239.62840,13.94772
2.56,286.27829,-6.94876
2.56,93.37805,-2.45431
2.56,315.94489,0.33120
2.57,283.94085,-1.85196
2.57,309.00270,-4.24146
2.58,130.27700,1.39738
2.59,231.18941,3.90520
2.59,356.88247,-11.73131
2.59,286.30109,-4.86871
2.6,11.27740,-9.11832
2.6,33.80713,-2.69230
2.61,320.99465,2.09181
2.62,119.15652,12.47557
2.62,309.11318,-4.39552
2.63,216.04764,-0.24721
2.63,307.54948,-4.94187
2.63,95.25691,7.80194
2.64,253.57702,10.77974
2.64,105.77549,2.26417
2.64,7.27546,1.84428
2.64,3.17079,2.92864
2.64,11.74361,-0.64974
2.65,306.41390,-0.68914
2.66,209.17543,-8.22204
2.66,257.53035,0.63414
2.67,306.70639,6.65470
2.68,66.94843,-7.82057
2.68,100.47925,4.67834
2.68,358.62329,2.01060
2.7,296.08221,-6.23270
2.7,345.23745,-8.83497
2.7,29.22740,-5.94195
2.72,49.41022,2.47518
2.73,219.54080,2.89270
2.73,346.26100,-8.21933
2.75,249.87090,7.10350
2.75,157.11691,4.43473
2.75,34.58995,-6.72963
2.75,12.55270,4.33090
2.76,323.12164,-2.56423
2.76,214.96654,7.81491
2.77,225.41949,0.45180
2.77,311.72839,-0.95610
2.77,68.85755,-0.04165
2.78,215.63226,11.17534
2.78,174.24782,-14.60467
2.78,221.32392,-12.39431
2.78,3.92290,-2.32284
2.79,219.12450,3.09490
2.8,348.09369,-0.33340
2.8,331.52940,-3.90215
2.81,353.39778,-8.31948
2.82,330.25475,5.92699
2.83,139.01459,3.27412
2.84,260.15188,0.24780
2.85,71.62836,-2.36180
2.85,338.80422,5.68142
2.86,27.92143,-1.45536
2.86,27.64927,16.92376
2.88,55.50702,-0.55794
2.88,84.20035,1.09115
2.88,281.01081,-5.69688
2.89,328.58900,6.23792
2.9,10.81805,-1.82700
2.9,89.38398,-2.26632
2.91,305.61689,-13.12720
2.91,340.86853,10.81987
2.92,249.38300,-5.50060
2.93,349.51040,2.09238
2.93,299.05084,18.47898
2.94,11.78990,-0.10219
2.94,25.02630,-11.66321
2.94,3.55318,-2.44196
2.96,27.47868,-0.96342
2.97,24.25290,-5.20898
2.97,149.17570,8.79329
2.98,356.53115,-2.39402
2.99,333.42904,1.18713
2.99,280.14169,-5.12480
2.99,345.27658,-1.24888
3,261.98284,8.58423
3,327.19496,-2.20438
3,135.67393,1.00381
3.01,338.19933,-8.38365
3.01,18.03403,-2.21302
3.02,171.30011,-25.81285
3.03,224.39501,15.31181
3.03,33.01107,-5.29136
3.03,310.62397,1.47209
3.03,343.99186,0.83519
3.04,211.46859,18.46139
3.04,317.84219,3.39599
3.04,250.68600,9.34760
3.05,33.88890,1.52400
3.05,5.13792,-8.90308
3.05,300.42898,-0.98209
3.06,235.74780,7.16060
3.06,332.07939,-3.36122
3.06,359.93280,5.18882
3.07,319.50620,-1.01130
3.09,346.97827,12.46440
3.1,118.79495,8.23861
3.12,17.02326,11.09557
3.13,298.27229,-1.72069
3.13,349.68210,3.11080
3.13,160.56362,-0.54042
3.14,45.60389,24.31775
3.15,18.78887,-1.88599
3.15,313.89448,-12.61850
3.15,43.32550,2.29250
3.17,335.25175,-3.62075
3.17,321.17719,-5.16080
3.17,253.97101,5.77763
3.17,232.83664,-4.73009
3.18,3.53170,-4.62119
3.18,93.36129,-0.99007
3.19,1.03351,1.97821
3.21,51.89951,-2.60031
3.22,43.31089,3.54235
3.22,3.04690,-1.76920
3.22,11.97689,4.23427
3.24,17.90900,-4.83120
3.25,27.70174,0.70465
3.26,58.61290,6.17479
3.26,310.75800,-2.94521
3.27,355.61639,-2.39090
3.29,307.44641,0.69080
3.29,349.17679,-1.76650
3.3,193.64699,-9.57470
3.3,82.13555,7.09350
3.3,102.98161,-2.32185
3.3,3.52840,2.67470
3.31,285.46239,-5.37554
3.32,258.13618,-0.39144
3.33,243.37997,-1.03842
3.33,283.89672,2.26831
3.35,302.24724,2.52674
3.35,27.39070,-3.39933
3.36,328.55301,6.06560
3.37,294.13314,14.45012
3.38,109.40054,7.72018
3.38,247.88800,4.98790
3.39,304.20144,5.95445
3.39,342.74434,0.75179
3.4,289.87700,1.29662
3.4,345.50633,15.11400
3.41,318.38184,-2.06196
3.41,296.38931,3.14140
3.42,161.27735,-14.89083
3.42,238.41800,-1.86493
3.43,352.87311,-0.51540
3.43,302.78119,-0.90980
3.47,342.96423,-4.90994
3.47,64.66782,48.30008
3.47,0.77841,-6.18576
3.48,293.61224,1.20141
3.49,299.51476,2.46842
3.5,335.42520,-1.93580
3.5,6.07972,3.15276
3.51,330.98563,4.39053
3.52,238.56750,1.73670
3.52,316.16997,8.45121
3.52,356.67520,-1.91520
3.53,2.73861,-4.85149
3.53,232.17680,-0.13050
3.53,350.94061,-2.90270
3.53,60.04569,-4.33425
3.54,14.02392,4.81828
3.54,69.79969,0.00398
3.54,264.16481,-8.14250
3.55,1.63116,-1.31708
3.55,103.79293,0.45432
3.55,74.55230,2.11388
3.55,167.04351,-0.97246
3.56,311.47555,2.85052
3.57,289.89000,1.26606
3.58,331.54294,-2.78831
3.59,328.35739,0.76610
3.59,45.49815,-2.70310
3.6,320.13415,-9.65800
3.6,351.17050,-3.90740
3.6,34.57579,-11.74823
3.6,275.08438,-4.16153
3.61,119.49953,6.55870
3.62,359.28036,-33.50450
3.62,65.25808,-5.69059
3.62,23.92815,-2.34413
3.63,359.73944,-1.80099
3.63,323.95630,2.45807
3.64,51.57421,6.11419
3.66,48.77153,1.99286
3.66,46.33878,-3.19541
3.66,6.11830,1.53210
